,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PA-RT-1_FM,,,,,,,,,
N? Mouser ,N? de fab. ,Fabricant,N? client,Description ,RoHS,Cycle de vie,Qté.,Prix (EUR),Ext. : (EUR)
712-CONSMB002-G,CONSMB002-G,Linx Technologies,,"Connecteurs RF / Connecteurs coaxiaux SMB Connector Jack, Male Pin 50Ohm Throu",RoHS : conforme,Nouveau produit,15,"2,24 ?","33,60 ?"
71-TNPU060320K0AWEN,TNPU060320K0AWEN00,Vishay,,Résistances à couches minces - CMS 1/10watt 20Kohms 0.0 5% 2ppm,,Nouveau produit,10,"2,54 ?","25,40 ?"
546-1455L1601,1455L1601,Hammond,,"Boîtiers, boîtes et coffrets 160x103x30.5mm Extr w/Metal End Panels",RoHS : conforme,,1,"26,18 ?","26,18 ?"
642-NDI01H,NDI01H,Apem,,Commutateurs DIL/Commutateurs SIL SPST 0.025A 24VDC 1/ 2 Pitch,RoHS : conforme,,10,"0,889 ?","8,89 ?"
113-NDI02HV,NDI-02H-V,Diptronics,,Commutateurs DIL/Commutateurs SIL Dip switch Through H ole Type,RoHS : conforme,,10,"1,41 ?","14,10 ?"
611-SDA03H1BD,SDA03H1BD,C&K Switches,,Commutateurs DIL/Commutateurs SIL EXT ACT 3 POS,RoHS : conforme,,10,"1,08 ?","10,80 ?"
113-NDI04SV,NDI-04S-V,Diptronics,,Commutateurs DIL/Commutateurs SIL Dip switch Through H ole Type,RoHS : conforme,,10,"1,59 ?","15,90 ?"
80-C0603C102F3GAUTO,C0603C102F3GACAUTO,KEMET,,Condensateurs céramique multicouches MLCC - CMS 25V 1000pF C0G 0603 1% AEC-Q200,RoHS : conforme,,20,"0,872 ?","17,44 ?"
80-C0603C103F3GEAUTO,C0603C103F3GECAUTO,KEMET,,Condensateurs céramique multicouches MLCC - CMS 25V 0.01uF C0G 0603 1% AEC-Q200,RoHS : conforme,,20,"0,512 ?","10,24 ?"
80-C0805C105J4RECAUT,C0805C105J4RECAUTO,KEMET,,Condensateurs céramique multicouches MLCC - CMS 16V 1uF X7R 0805 5% AEC-Q200,RoHS : conforme,,10,"0,208 ?","2,08 ?"
80-T491A106K020AT,T491A106K020AT,KEMET,,Condensateurs au tantale - CMS Solides 20V 10uF 1206 10% ES R=5 Ohms,RoHS : conforme,,10,"0,399 ?","3,99 ?"
71-TNPU06034K99AWEN,TNPU06034K99AWEN00,Vishay,,Résistances à couches minces - CMS 1/10watt 4.99Kohms 0 .05% 2ppm,,Nouveau produit,10,"2,54 ?","25,40 ?"
603-RT0603BRC0749K9L,RT0603BRC0749K9L,YAGEO,,Résistances à couches minces - CMS 49.9K ohm .1% 15 ppm High-Precision,Conforme à RoHS par dispense,,10,"0,323 ?","3,23 ?"
279-RQ73C1J49K9BTDF,RQ73C1J49K9BTDF,TE Connectivity,,Résistances à couches minces - CMS RQ 0603 49K9 0.1% 10PPM,RoHS : conforme,,10,"0,502 ?","5,02 ?"
71-TNPW060349R9BYEA,TNPW060349R9BYEA,Vishay,,Résistances à couches minces - CMS 49.9ohms 0.1% 10ppm,RoHS : conforme,Nouveau produit,10,"0,581 ?","5,81 ?"
660-RN73R1JTD49R9B25,RN73R1JTTD49R9B25,KOA Speer,,Résistances à couches minces - CMS 49.9  OHM  .1%  25PPM  1/10W,RoHS : conforme,Nouveau produit,10,"0,285 ?","2,85 ?"
571-227161-9,227161-9,TE Connectivity,,Connecteurs RF / Connecteurs coaxiaux R.A. JACK 50 OHM,Conforme à RoHS par dispense,,15,"3,43 ?","51,45 ?"
80-C1206C106K8R7210,C1206C106K8RAC7210,KEMET,,Condensateurs céramique multicouches MLCC - CMS 10V 10uF X7R 1206 10 %,RoHS : conforme,,10,"0,293 ?","2,93 ?"
71-PLTT0603Z5002QGT5,PLTT0603Z5002QGT5,Vishay,,Résistances à couches minces - CMS .15mW 50Kohms .02% 5 ppm 0603,RoHS : conforme,,4,"7,06 ?","28,24 ?"
71-PTN0603Y4992BST1,PTN0603Y4992BST1,Vishay,,Résistances à couches minces - CMS 0.15W 49.9Kohm 0.1% 10ppm,RoHS : conforme,Nouveau produit,5,"0,762 ?","3,81 ?"
71-P0603Y50R0WBT,P0603Y50R0WBT,Vishay,,Résistances à couches minces - CMS 50ohm .05% 10ppm,Non,,3,"10,69 ?","32,07 ?"
